USGS Basin,fire_year,fraction_catchment
10258500,1966,0.01024544
10258500,1975,0.044539704
10258500,1980,0.179294608
10258500,1980,0.00781982
10258500,1996,0.006792265
10258500,1987,0.000326068
10258500,1987,0.001256063
10258500,1987,0.000685178
10258500,1988,0.002553465
10258500,1994,0.321286479
10258500,1994,0.014399079
10258500,2008,0.00582076
10258500,2013,0.113951124
10258500,2015,0.009094194
10259000,1933,0.294147221
10259000,1927,0.020025538
10259000,1942,0.149624658
10259000,1981,0.077642398
10259000,1980,0.92030674
10259000,2013,0.664441756
10259200,1935,0.00368998
10259200,1944,0.006926123
10259200,1940,0.086381019
10259200,1994,0.001820401
10260200,1978,0.019081011
10260200,1980,0.053947545
10260200,2006,0.4928412
10260200,2015,0.4356346
10260470,2003,0.01379563
10260470,1911,0.961701614
10260470,1938,0.142139637
10260470,1956,0.060092769
10260470,1953,0.000429092
10260480,2003,0.00328927
10260480,1911,0.446483145
10260480,1922,0.102702688
10260480,1990,0.001953061
10260480,1938,0.033890129
10260480,1951,0.016315627
10260480,1956,0.024033034
10260480,1953,0.000102308
10260500,2007,0.00013289
10260500,2007,0.114309833
10260500,2007,0.000108267
10260500,2007,0.000342981
10260500,2007,0.000542142
10260500,2007,0.134066737
10260500,1916,0.001239551
10260500,1929,0.001572195
10260500,1947,0.001942028
10260500,1908,0.000258721
10260500,1908,4.49E-05
10260500,1908,0.000443196
10260500,2003,0.109188269
10260500,1984,0.00143244
10260500,1925,0.002862713
10260500,1910,0.000716303
10260500,1911,0.023628119
10260500,1911,0.00032312
10260500,1914,0.000841996
10260500,1914,0.000665492
10260500,1955,0.02739883
10260500,1964,0.004191482
10260500,1976,0.011437917
10260500,1976,0.000190916
10260500,1976,0.000598184
10260500,1992,0.006840481
10260500,1927,0.001751103
10260500,1906,0.002625535
10260500,1922,0.035273211
10260500,1919,0.002225604
10260500,1979,0.000549996
10260500,1979,0.002588298
10260500,1990,9.78E-05
10260500,1990,0.000519199
10260500,1990,0.000230025
10260500,1940,0.060505551
10260500,1938,0.001697346
10260500,1980,0.002930799
10260500,1960,0.003580358
10260500,1951,0.044629803
10260500,1962,0.000428563
10260500,1956,0.02419659
10260500,1975,5.51E-05
10260500,1953,5.12E-06
10260500,1956,0.00026242
10260500,1956,0.000243701
10260500,1959,0.027103831
10260500,1996,0.000846875
10260500,1996,0.001644188
10260500,1963,0.000840712
10260500,1974,0.000145706
10260500,1974,0.000143197
10260500,1967,0.000293302
10260500,1967,0.002243377
10260500,1967,0.004803508
10260500,1970,0.02365327
10260500,1978,0.000524492
10260500,1975,0.007594608
10260500,2001,0.000141248
10260500,1984,0.000531403
10260500,1987,0.02163432
10260500,1987,0.003342068
10260500,1988,0.001717991
10260500,1991,0.002499189
10260500,1994,0.113004655
10260500,1994,0.014778355
10260500,1994,0.006973105
10260500,1995,0.013335831
10260500,1999,0.411107036
10260500,1974,0.00011481
10260500,2006,0.029025612
10260500,2006,0.00013551
10260500,2011,0.000629058
10260500,2011,0.000297769
10260500,2012,0.001375429
10260500,2015,3.91E-05
10260500,2016,0.009213725
10260550,1924,0.673040396
10260550,2003,1
10260550,1964,0.439960189
10260550,1921,0.037699513
10260550,1928,0.205114481
10260550,1980,0.05591388
10260550,1943,0.15933105
10260640,2003,0.003637176
10260640,1911,0.951313813
10260640,1938,0.087497027
10260650,2003,0.003439304
10260650,1911,0.943563755
10260650,1938,0.082736964
10260700,2007,0.045312284
10260700,2003,0.001323682
10260700,1911,0.482296092
10260700,1919,0.140756826
10260700,1928,0.000624019
10260700,1938,0.018805976
10260700,1959,0.200503233
10260700,1969,0.002186857
10260700,2016,0.010781569
10260790,2007,0.014698175
10260790,1923,0.001626241
10260790,1924,0.189691345
10260790,2003,0.461478739
10260790,1924,0.017331784
10260790,1911,0.278645737
10260790,1914,0.001508765
10260790,1914,0.001834663
10260790,1936,0.026542465
10260790,1964,0.051021779
10260790,1918,0.007387141
10260790,1918,0.016641146
10260790,1913,0.0039745
10260790,1919,0.045658005
10260790,1921,0.028995308
10260790,1921,0.003557216
10260790,1928,0.021760746
10260790,1928,0.002283672
10260790,1954,0.012818998
10260790,1938,0.00610019
10260790,1980,0.016568864
10260790,1943,0.015034013
10260790,1960,0.000760386
10260790,1953,0.00151795
10260790,1959,0.098829069
10260790,1969,0.080813488
10260790,1993,0.000822337
10260790,2010,0.003066883
10260790,2016,0.030723491
10260820,2007,0.014698175
10260820,1923,0.001626241
10260820,1924,0.189691345
10260820,2003,0.461478739
10260820,1924,0.017331784
10260820,1911,0.278645737
10260820,1914,0.001508765
10260820,1914,0.001834663
10260820,1936,0.026542465
