STAID,NDAMS_2009,DDENS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,MAJ_DDENS_2009
16419500,0.00,0.00,0.0,0.0,0.00,0.00
16501000,0.00,0.00,0.0,0.0,0.00,0.00
16501200,0.00,0.00,0.0,0.0,0.00,0.00
16508000,0.00,0.00,0.0,0.0,0.00,0.00
16518000,0.00,0.00,0.0,0.0,0.00,0.00
16521300,0.00,0.00,0.0,0.0,0.00,0.00
16545000,0.00,0.00,0.0,0.0,0.00,0.00
16570000,1.00,10.48,4.8,4.1,0.00,0.00
16585000,0.00,0.00,0.0,0.0,0.00,0.00
16587000,0.00,0.00,0.0,0.0,0.00,0.00
16604500,0.00,0.00,0.0,0.0,0.00,0.00
16614000,0.00,0.00,0.0,0.0,0.00,0.00
16618000,0.00,0.00,0.0,0.0,0.00,0.00
16620000,0.00,0.00,0.0,0.0,0.00,0.00
16638500,1.00,7.72,2.8,1.7,0.00,0.00
16681000,0.00,0.00,0.0,0.0,0.00,0.00
16682000,0.00,0.00,0.0,0.0,0.00,0.00
16700000,0.00,0.00,0.0,0.0,0.00,0.00
16704000,0.00,0.00,0.0,0.0,0.00,0.00
16717000,0.00,0.00,0.0,0.0,0.00,0.00
16720000,0.00,0.00,0.0,0.0,0.00,0.00
16720300,0.00,0.00,0.0,0.0,0.00,0.00
16725000,0.00,0.00,0.0,0.0,0.00,0.00
16756100,0.00,0.00,0.0,0.0,0.00,0.00
16757000,0.00,0.00,0.0,0.0,0.00,0.00
16758000,0.00,0.00,0.0,0.0,0.00,0.00
16759000,0.00,0.00,0.0,0.0,0.00,0.00
16759800,0.00,0.00,0.0,0.0,0.00,0.00
16764000,0.00,0.00,0.0,0.0,0.00,0.00
16770500,0.00,0.00,0.0,0.0,0.00,0.00
50010500,0.00,0.00,0.0,0.0,0.00,0.00
50014800,0.00,0.00,0.0,0.0,0.00,0.00
50021700,3.00,3.19,72.5,59.8,2.00,2.13
50024950,4.00,2.15,37.9,30.8,3.00,1.61
50025155,0.00,0.00,0.0,0.0,0.00,0.00
50026025,1.00,1.02,689.6,441.3,1.00,1.02
50026200,1.00,0.76,515.9,330.2,1.00,0.76
50027000,0.00,0.00,0.0,0.0,0.00,0.00
50028000,0.00,0.00,0.0,0.0,0.00,0.00
50028400,0.00,0.00,0.0,0.0,0.00,0.00
50029000,6.00,1.01,208.1,124.0,5.00,0.84
50031200,0.00,0.00,0.0,0.0,0.00,0.00
50034000,0.00,0.00,0.0,0.0,0.00,0.00
50035000,2.00,0.58,17.2,14.0,2.00,0.58
50038100,2.00,0.47,13.9,11.3,2.00,0.47
50038320,0.00,0.00,0.0,0.0,0.00,0.00
50039500,0.00,0.00,0.0,0.0,0.00,0.00
50043000,1.00,0.61,112.5,67.5,1.00,0.61
50043800,1.00,0.33,60.8,36.5,1.00,0.33
50044810,0.00,0.00,0.0,0.0,0.00,0.00
50045010,4.00,0.86,118.9,62.6,3.00,0.64
50046000,4.00,0.74,103.0,54.3,3.00,0.56
50047535,0.00,0.00,0.0,0.0,0.00,0.00
50047560,1.00,4.68,623.9,306.2,1.00,4.68
50047850,1.00,0.93,123.3,60.5,1.00,0.93
50048690,0.00,0.00,0.0,0.0,0.00,0.00
50048770,1.00,5.12,90.0,70.7,1.00,5.12
50049100,1.00,2.50,44.0,34.6,1.00,2.50
50050900,0.00,0.00,0.0,0.0,0.00,0.00
50051310,0.00,0.00,0.0,0.0,0.00,0.00
50051800,0.00,0.00,0.0,0.0,0.00,0.00
50053025,0.00,0.00,0.0,0.0,0.00,0.00
50055000,0.00,0.00,0.0,0.0,0.00,0.00
50055380,0.00,0.00,0.0,0.0,0.00,0.00
50055750,0.00,0.00,0.0,0.0,0.00,0.00
50056400,0.00,0.00,0.0,0.0,0.00,0.00
50057000,0.00,0.00,0.0,0.0,0.00,0.00
50058350,0.00,0.00,0.0,0.0,0.00,0.00
50059050,1.00,0.18,37.1,22.3,1.00,0.18
50059210,0.00,0.00,0.0,0.0,0.00,0.00
50061800,0.00,0.00,0.0,0.0,0.00,0.00
50063440,0.00,0.00,0.0,0.0,0.00,0.00
50063800,0.00,0.00,0.0,0.0,0.00,0.00
50064200,0.00,0.00,0.0,0.0,0.00,0.00
50065500,0.00,0.00,0.0,0.0,0.00,0.00
50067000,0.00,0.00,0.0,0.0,0.00,0.00
50070900,0.00,0.00,0.0,0.0,0.00,0.00
50071000,0.00,0.00,0.0,0.0,0.00,0.00
50075000,0.00,0.00,0.0,0.0,0.00,0.00
50076000,0.00,0.00,0.0,0.0,0.00,0.00
50081000,0.00,0.00,0.0,0.0,0.00,0.00
50085100,0.00,0.00,0.0,0.0,0.00,0.00
50090500,0.00,0.00,0.0,0.0,0.00,0.00
50092000,0.00,0.00,0.0,0.0,0.00,0.00
50093120,1.00,1.50,254.4,203.4,1.00,1.50
50100200,0.00,0.00,0.0,0.0,0.00,0.00
50100450,0.00,0.00,0.0,0.0,0.00,0.00
50106100,0.00,0.00,0.0,0.0,0.00,0.00
50108000,0.00,0.00,0.0,0.0,0.00,0.00
50110900,0.00,0.00,0.0,0.0,0.00,0.00
50111500,2.00,1.50,571.3,560.6,2.00,1.50
50112500,0.00,0.00,0.0,0.0,0.00,0.00
50113800,0.00,0.00,0.0,0.0,0.00,0.00
50114000,1.00,2.17,1569.9,823.9,1.00,2.17
50114900,0.00,0.00,0.0,0.0,0.00,0.00
50115000,0.00,0.00,0.0,0.0,0.00,0.00
50115900,0.00,0.00,0.0,0.0,0.00,0.00
50124200,0.00,0.00,0.0,0.0,0.00,0.00
50126150,1.00,1.20,260.7,171.5,1.00,1.20
50131990,0.00,0.00,0.0,0.0,0.00,0.00
50136400,0.00,0.00,0.0,0.0,0.00,0.00
50138000,0.00,0.00,0.0,0.0,0.00,0.00
50141000,0.00,0.00,0.0,0.0,0.00,0.00
50144000,3.00,0.86,58.2,43.6,3.00,0.86
50145395,0.00,0.00,0.0,0.0,0.00,0.00
50147800,0.00,0.00,0.0,0.0,0.00,0.00
50148890,0.00,0.00,0.0,0.0,0.00,0.00
